Company Name,Company Type,Website
"Love, Vara",Underwear,https://www.lovevera.com/
Lovestruck Whipped Bath & Body Butters,Health,http://lovestruckwhippedvodybutters.com/
Luna & Lumi,Home Goods,https://www.etsy.com/shop/LunaLumi?ref=simple-shop-header-name&listing_id=810869641
Lust for Nails,Nailcare,https://lustfornails.com/
Luxe by Lay’na,Beauty,http://www.luxebylayna.com/
Lynda Lou,Apparel,https://www.lyndalouboutique.com/
Magnolia Lush,Bath & Body,https://www.magnolialush.com/
Mahnal,Accessories,https://mahnal.com/
Maison Noir Wines,Food,https://maisonnoirwines.com/
Make My Cake,Food,http://www.makemycake.com/
Malaika Apparel,Apparel,https://www.malaikaapparel.com/shop
Marjorie's Beef Jerky,Food,http://www.marjoriesbeefjerky.com/
Mary Louise Cosmetics,Cosmetics,https://www.mymarylouise.com/
Mary Plans Vacation,Services,http://www.maryplansvacation.com/
Mateo New York,Jewelry,mateonewyork.com
Mayvenn,Hair,https://shop.mayvenn.com/
McBride Sisters Wine Collection,Food,https://www.mcbridesisters.com/
Me & the Bees Lemonade,Food,https://www.meandthebees.com/
Melanation,Apparel,https://www.melanation.org/shop/
Melanie Marie,Jewelry,https://jewelry.melaniemarie.com/
Mented Cosmetics,Cosmetics,https://www.mentedcosmetics.com/
MFAD Creative Group LLC,Services,http://www.management4aday.com/
Midnite Confection,Food,http://www.midniteconfection.com/
Mielle Organics,Hair,https://mielleorganics.com/
Milestone Events & Celebrations,Services,http://www.mymilestoneevents.com/
Mint Swim,Swimwear,https://www.mint-swim.com/
Molten Consulting Group,Services,http://www.motenconsultinggroup.com/
Monie Naturals,Bath & Body,https://moniesquared.bigcartel.com/
Montys Neighborhood Snacks,Food,https://www.facebook.com/MontysNeighborhoodsnacks/
Moon Cosmetics,Cosmetics,https://shopmoonxcosmetics.com/
Motherland Essentials,Bath & Body,https://www.motherlandessentials.com/collections/all
Movita Organics,Health,https://www.movitaorganics.com/
Mrs Jacks Bath & Body Food,Health,http://www.mrsjackssBath & Bodyfoods.com/
Mutha Magick Apothecary,Home Goods,https://www.muthamagickapothecary.com/
My Beautiful Fluff,Apparel,http://mybeautifulfluff.com/shop
My Melanin Fits,Accessories,http://mymelaninfits.com/
My Sunday 2 Sunday,Hair,https://mysunday2sunday.com/
Myavana,Hair,myavana.com
Myavana,Hair,https://www.myavana.com/
MySampleHAUS,Decor,https://www.mysamplehaus.com/
Mystic Momma,Health,https://www.mysticmomma.net/
Na’Toria Marketing & Design Solutions,Services,http://www.natoria.co/
Naked Flamingo,Skincare,http://nakedflamingoskin.com/
Nakimuli,Swimwear,https://www.nakimuli.com/
Nana Catherine’s Apothecary,Health,https://nanacatherinesapothecary.com/
Nana's Girls Squared,Home Goods,https://www.etsy.com/shop/NanasGirlsSquared?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865568_d403d442e7320cc786aab5bdcb71d037
Nappily Naturals,Bath & Body,https://nappilynaturals.com/
Natural Cuties,Beauty,http://www.iamanaturalcutie.com/
Natural Jewels,Beauty,http://www.shopnaturaljewels.com/
Naturally Made With Love,Beauty,https://naturallymadewithlove.org/
Natures Pleasantries LLC,Health,http://naturespleasantries.com/
Newdii,Jewelry,https://www.etsy.com/shop/NewdiiCrystals
Ni’kita Wilson Beauty Chemist,Beauty,http://www.nikitawilsonbeauty.com/
Nigel's Jamaican Almond Oil,Bath & Body,https://jamaicanalmondworld.com/
Nine Beauty,Skincare,https://linktr.ee/nine__beauty
Nola Skinsentials,Bath & Body,https://www.nolaskinsentials.com/
Not Boney LLC,Apparel,http://www.not-boney.com/
Nroda,Eyewear,https://nroda.com/
Nubian Skin,Underwear,https://us.nubianskin.com/
Nudies,Underwear,https://nudies.shop/
NuEssence,Skincare,https://msha.ke/nuessence__/
Nur Ceramics,Home Goods,http://www.nurceramics.com/
NXC Vintage Shop,Vintage,https://www.nxcvintageshop.com/
Ofurre,Swimwear,https://ofuure.com/collections/swimwear
Okiki,Cosmetics,https://www.okikiskincare.co.uk/
OliviaReese,Apparel,http://www.oliviareeseApparel.com/
OMA the Label,Accessories,https://www.omathelabel.com/
Omi Woods,Jewelry,https://omiwoods.com/
"On The Go Photo, LLC",Services,http://onthegophototn.com/
OOO Polish,Beauty,http://www.ooopolish.com/
Organic Bath Co.,Bath & Bodycare,https://www.organicbath.co/
Organic Grow Hair Co.,Hair,https://organigrowhairco.com/
Oui the People,Bath & Bodycare,https://www.ouithepeople.com/
"Our Legacy Press, LLC",Services,http://ourlegacipress.com/
Pat McGrath,Beauty,https://www.patmcgrath.com/pages/divine-rose-collection
Pat McGrath Labs,Cosmetics,https://www.patmcgrath.com/
Pattern Beauty,Hair,https://patternbeauty.com/
Peak and Valley Co.,Health,https://peakandvalley.co/
Pear Nova,Nailcare,https://pearnova.com/
Pear Nova,Beauty,https://pearnova.com/gel
Penthouse Sweets,Food,https://penthousesweetschicago.com/
Perfect Blue Alchemy,Beauty,http://www.perfectbluealchemy.com/
Petssi Pies,Food,https://Petssipies.com/
Petsty Butter Inc.,Bath & Body,https://linktr.ee/Petstybutter
Phoenix InPhusions,Bath & Body,https://webuyblack.com/phoenix-inphusions
Photosnaps by Kris B,Photography,https://www.photosnapsbykrisb.com/online-store
Pietisserie,Food,https://www.pietisserie.com/
Pinckney Cookie Cafe,Food,https://lovethesecookies.com/
Pink Cupcakes,Food,http://www.natspinkcupcakes.com/
Piscean Spirituality,Home Goods,https://www.etsy.com/shop/PisceanSpirituality?source=aw&utm_source=affiliate_window&utm_medium=affiliate&utm_campaign=us_location_buyer&utm_term=3657&utm_content=304459&awc=6220_1592865454_fcf214fe9361b84c64e4ee38f97bb9d1
PLANT Apothecary,Beauty,https://plantapothecary.com/
Plant Based Jeff,Health,https://plantbasedjeff.com/?ref=m1bwwqcvfsj
Pollymetics,Skincare,https://www.pollymetics.com/
Pot Twist Ceramics,Decor,http://pottwistceramics.com/
Pottery by Osa,Home Goods,https://www.etsy.com/shop/potterybyosa/
Precision Plus,Services,http://www.precisionplus.co/
Predominantly Black,Candle,https://www.predominantlyblack.com/collections/all
Pretty Babes Cosmetics,Cosmetics,https://www.prettybabescosmetics.com/
Pretty Honest Shop,Candle,https://www.prettyhonestshop.com/
Pretty Mushroom,Health,https://prettymushroom.com/
Pretty Write,Services,http://www.instagram.com/prettywrite_llc
"Principle, LLC",Apparel,https://oneprincple.com/
Project Pop,Food,https://www.eatprojectpop.com/
Propa Beauty,Beauty,https://www.propabeauty.com/
Pur Home,Health,http://www.pur-home.com/
Pyer Moss,Apparel,pyermoss.com
Queentopia Beauty,Bath & Body,https://queentopiabeauty.myshopify.com/
Radhi Skin,Beauty,https://radhiskin.com/
Rain + Sky Home Decor,Decor,https://www.rainskyhome.com/
Raw Goodness LLC,Beauty,http://rawgoodness.org/
Real Chicks Rock!,Services,http://www.realchicksrock.com/
Red Bay Coffee,Food,https://www.redbaycoffee.com/
Red Dirt,Beauty,http://reddirthandmade.com/
Redoux,Bath & Bodycare,https://redoux.nyc/
Relaunch in Color,Nailcare,https://www.relaunchincolor.com/relaunchnailpolish
Relax,Beauty,https://relaxspaandbeauty.com/products/
Retro Rhapsody,Vintage,https://www.etsy.com/shop/RetroRhapsody
Riot Swim,Swimwear,https://www.riotswim.com/
Roseman's Remedies,Bath & Body,https://www.rosemansremedies.com/shop-1
Rosen,Skincare,https://www.rosenskincare.com/
"Royal Fitness, LLC",Health,https://www.royaltfitness.com/
Royal House of Wraps,Accessories,https://www.royalhouseofwraps.com/
RPF Organics,Food,https://www.etsy.com/shop/rpforganics
Rucker Roots,Hair,https://ruckerroots.com/
Rue 107,Apparel,https://rue107.com/
Rutse,Skincare,https://www.rutseonline.com/
Sadiddy Hippie,Beauty,http://www.sadiddyhippie.com/
Salone Monet,Footwear,https://www.salonemonet.com/
Samantha Rei,Accessories,https://samantharei.com/shop/
Samara Bags,Apparel,https://samarabags.com/
Sankofa Beer Company,Food,https://www.sankofabeer.com/
Santoki Healing,Health,https://santokihealing.setmore.com/
Sassy Cre8s,Apparel,https://www.etsy.com/shop/SASSYCRE8S
SavageChic,Apparel,http://www.thesavagechic.com/
Scents By Jasmine Limited Co.,Decor,http://www.scentsbyjasmine.com/
